name,state,lat,lon,category,rating
Detroit,MI,42.33,-83.05,CITY,3.1
Chicago,IL,41.88,-87.63,CITY,4.2
Indianapolis,IN,39.77,-86.16,CITY,3.0
Milwaukee,WI,43.04,-87.91,CITY,3.2
Minneapolis,MN,44.98,-93.27,CITY,3.7
Fargo,ND,46.88,-96.79,CITY,2.6
Bismarck,ND,46.81,-100.78,CITY,2.5
Billings,MT,45.78,-108.50,CITY,2.8
Bozeman,MT,45.68,-111.04,CITY,3.4
Missoula,MT,46.87,-113.99,CITY,3.2
Great Falls,MT,47.50,-111.30,CITY,2.6
Spokane,WA,47.66,-117.43,CITY,3.0
Seattle,WA,47.61,-122.33,CITY,4.2
Portland,OR,45.52,-122.68,CITY,4.0
Boise,ID,43.62,-116.20,CITY,3.1
Idaho Falls,ID,43.49,-112.03,CITY,2.6
Salt Lake City,UT,40.76,-111.89,CITY,3.3
Provo,UT,40.23,-111.66,CITY,2.9
Cedar City,UT,37.68,-113.06,CITY,2.8
St George,UT,37.10,-113.58,CITY,3.0
Rock Springs,WY,41.59,-109.20,CITY,2.3
Cheyenne,WY,41.14,-104.82,CITY,2.7
Casper,WY,42.85,-106.32,CITY,2.5
Denver,CO,39.74,-104.99,CITY,3.9
Colorado Springs,CO,38.83,-104.82,CITY,3.3
Pueblo,CO,38.27,-104.61,CITY,2.6
Grand Junction,CO,39.06,-108.55,CITY,2.8
Santa Fe,NM,35.69,-105.94,CITY,4.0
Albuquerque,NM,35.08,-106.65,CITY,3.3
El Paso,TX,31.76,-106.49,CITY,2.9
Fort Stockton,TX,30.90,-102.87,CITY,2.1
San Antonio,TX,29.42,-98.49,CITY,3.6
Austin,TX,30.27,-97.74,CITY,3.9
Houston,TX,29.76,-95.37,CITY,3.3
Dallas,TX,32.78,-96.80,CITY,3.4
Abilene,TX,32.45,-99.73,CITY,2.3
Lubbock,TX,33.58,-101.86,CITY,2.3
Amarillo,TX,35.19,-101.83,CITY,2.5
Oklahoma City,OK,35.47,-97.52,CITY,3.0
Tulsa,OK,36.15,-95.99,CITY,2.9
Wichita,KS,37.69,-97.34,CITY,2.7
Salina,KS,38.84,-97.61,CITY,2.1
Kansas City,MO,39.10,-94.58,CITY,3.3
St Louis,MO,38.63,-90.20,CITY,3.4
Des Moines,IA,41.60,-93.61,CITY,2.8
Omaha,NE,41.26,-95.94,CITY,2.8
Sioux Falls,SD,43.55,-96.70,CITY,2.5
Rapid City,SD,44.08,-103.23,CITY,2.9
Little Rock,AR,34.75,-92.29,CITY,2.8
Jackson,MS,32.30,-90.18,CITY,2.6
Shreveport,LA,32.53,-93.75,CITY,2.5
Baton Rouge,LA,30.45,-91.15,CITY,2.8
New Orleans,LA,29.95,-90.07,CITY,4.3
Mobile,AL,30.69,-88.04,CITY,2.8
Birmingham,AL,33.52,-86.80,CITY,2.9
Pensacola,FL,30.42,-87.22,CITY,3.2
Tallahassee,FL,30.44,-84.28,CITY,2.6
Jacksonville,FL,30.33,-81.66,CITY,2.9
Orlando,FL,28.54,-81.38,CITY,3.4
Tampa,FL,27.95,-82.46,CITY,3.3
Miami,FL,25.76,-80.19,CITY,4.0
Phoenix,AZ,33.45,-112.07,CITY,3.0
Tucson,AZ,32.22,-110.97,CITY,2.9
Flagstaff,AZ,35.20,-111.65,CITY,3.2
Kingman,AZ,35.19,-114.05,CITY,2.2
Palm Springs,CA,33.83,-116.55,CITY,3.4
Los Angeles,CA,34.05,-118.24,CITY,4.0
San Diego,CA,32.72,-117.16,CITY,4.0
Las Vegas,NV,36.17,-115.14,CITY,3.6
Reno,NV,39.53,-119.81,CITY,2.7
Elko,NV,40.83,-115.76,CITY,2.0
Barstow,CA,34.90,-117.02,CITY,2.0
Bakersfield,CA,35.37,-119.02,CITY,2.4
Fresno,CA,36.75,-119.77,CITY,2.6
Sacramento,CA,38.58,-121.49,CITY,3.0
San Francisco,CA,37.77,-122.42,CITY,4.4
